# trivial,nontrivial,accuracy
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.983999999999999542e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.988000000000000211e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.968000000000000194e-01
1.000000000000000000e+00,2.310924369747899276e-02,9.535000000000000142e-01
9.998995176848874955e-01,3.333333333333333148e-01,9.967000000000000304e-01
9.996848739495798331e-01,2.291666666666666505e-02,9.527999999999999803e-01
9.995982322217757954e-01,2.500000000000000000e-01,9.962999999999999634e-01
9.997898276586800748e-01,2.892561983471074460e-02,9.527999999999999803e-01
9.998992747784045676e-01,2.916666666666666852e-01,9.948000000000000176e-01
9.990558120016785892e-01,2.350427350427350404e-02,9.534000000000000252e-01
9.992937853107344282e-01,2.159090909090909116e-01,9.923999999999999488e-01
9.987405541561712452e-01,3.389830508474576259e-02,9.532000000000000473e-01
9.984854604200322781e-01,1.145833333333333287e-01,9.899999999999999911e-01
9.986361728913134561e-01,1.282051282051282007e-02,9.525000000000000133e-01
9.998971193415637781e-01,6.428571428571427937e-02,9.737000000000000099e-01
9.982150356992860463e-01,4.411764705882353227e-02,9.527999999999999803e-01
9.977696674776966868e-01,1.102941176470588203e-01,9.857000000000000206e-01
9.973772555602181678e-01,2.991452991452991581e-02,9.520999999999999464e-01
9.970647773279351922e-01,3.333333333333333287e-02,9.855000000000000426e-01
9.972643097643097976e-01,3.629032258064516375e-02,9.495999999999999996e-01
9.961554026709834586e-01,1.724137931034482873e-01,9.866000000000000325e-01
9.973717409587888882e-01,4.303278688524590084e-02,9.507999999999999785e-01
9.964488636363636465e-01,5.555555555555555247e-02,9.828999999999999959e-01
9.978956228956229468e-01,4.032258064516128920e-02,9.504000000000000226e-01
9.965545196595054778e-01,1.212121212121212155e-01,9.849999999999999867e-01
9.980992844364937611e-01,1.704545454545454419e-02,8.944999999999999618e-01
9.945785597381342491e-01,1.116071428571428631e-01,9.747999999999999998e-01
9.933989941324392614e-01,2.850877192982455982e-02,9.494000000000000217e-01
9.938775510204082009e-01,1.100000000000000006e-01,9.761999999999999567e-01
9.919151616967660789e-01,4.411764705882353227e-02,9.467999999999999750e-01
9.915811088295687359e-01,8.846153846153846645e-02,9.680999999999999606e-01
9.922268907563025486e-01,3.541666666666666574e-02,9.463000000000000300e-01
9.908586688578471247e-01,7.954545454545454419e-02,9.667999999999999927e-01
9.918614357262103276e-01,3.846153846153846367e-02,9.522000000000000464e-01
9.901800327332241913e-01,7.589285714285713691e-02,9.697000000000000064e-01
9.966635987114588202e-01,1.834862385321101019e-02,8.687000000000000277e-01
9.921746293245469195e-01,1.076388888888888951e-01,9.667000000000000037e-01
9.929974916387960260e-01,7.175925925925925875e-02,9.532000000000000473e-01
9.913079470198675747e-01,8.928571428571428770e-02,9.609999999999999654e-01
9.907484407484407063e-01,6.315789473684210731e-02,9.555000000000000160e-01
9.897642679900744422e-01,1.128048780487804909e-01,9.609999999999999654e-01
9.892886855241264099e-01,6.510416666666667129e-02,9.537999999999999812e-01
9.878781599668462476e-01,5.747126436781609116e-02,9.555000000000000160e-01
9.877185678601165808e-01,5.867346938775510473e-02,9.513000000000000345e-01
9.873286248442043611e-01,4.838709677419354704e-02,9.524000000000000243e-01
9.937774524158126122e-01,1.496674057649667426e-02,8.172000000000000375e-01
9.901714763697198052e-01,7.339449541284404077e-02,9.502000000000000446e-01
9.898194794290512410e-01,9.533898305084745339e-02,9.475999999999999979e-01
9.866444073455760133e-01,1.057692307692307682e-01,9.499999999999999556e-01
9.875052498950021018e-01,8.193277310924369783e-02,9.444000000000000172e-01
9.853991596638655981e-01,7.916666666666666297e-02,9.418999999999999595e-01
9.892947103274559728e-01,8.898305084745762594e-02,9.467999999999999750e-01
9.863330529857022855e-01,7.581967213114754189e-02,9.418999999999999595e-01
9.867312552653748625e-01,8.730158730158729674e-02,9.414000000000000146e-01
9.817762882279010839e-01,8.185840707964602003e-02,9.411000000000000476e-01
9.921188630490955784e-01,1.150442477876106179e-02,7.704999999999999627e-01
9.811658249158249356e-01,7.258064516129032751e-02,9.361000000000000432e-01
9.863617289131346721e-01,1.282051282051281937e-01,9.462000000000000410e-01
9.800084175084174953e-01,6.854838709677418818e-02,9.347999999999999643e-01
9.838471283783783994e-01,1.079545454545454558e-01,9.375999999999999890e-01
9.793353216872603406e-01,8.006535947712417611e-02,9.243000000000000105e-01
9.810942120828052282e-01,1.165413533834586401e-01,9.351000000000000423e-01
9.765857811834823821e-01,9.271523178807947185e-02,9.232000000000000206e-01
9.791227330240405147e-01,1.279069767441860517e-01,9.352000000000000313e-01
9.875000000000000444e-01,2.343750000000000000e-02,7.407000000000000250e-01
9.822340425531914665e-01,1.100000000000000006e-01,9.298999999999999488e-01
9.777426160337552297e-01,9.230769230769231282e-02,9.316999999999999726e-01
9.824915110356536863e-01,8.680555555555555247e-02,9.308999999999999497e-01
9.792460821685726735e-01,7.913669064748200810e-02,9.292000000000000259e-01
9.849128771780705227e-01,1.190476190476190410e-01,9.340000000000000524e-01
9.791755206119846511e-01,9.183673469387755584e-02,9.270000000000000462e-01
9.814382689859991737e-01,1.013986013986013929e-01,9.311000000000000387e-01
9.741859468723221838e-01,8.584337349397590244e-02,9.152000000000000135e-01
9.790692732681682831e-01,1.241496598639455773e-01,9.287999999999999590e-01
9.844490521327013965e-01,1.508620689655172480e-02,6.695999999999999730e-01
9.729928541403951581e-01,1.776859504132231315e-01,9.344999999999999973e-01
9.637079142982072355e-01,5.046948356807511721e-02,8.859000000000000208e-01
9.740466101694915668e-01,1.732142857142857095e-01,9.292000000000000259e-01
9.642394122731201556e-01,7.392473118279570266e-02,8.980000000000000204e-01
9.708491761723700986e-01,1.203007518796992414e-01,9.255999999999999783e-01
9.629589632829373969e-01,7.702702702702703130e-02,8.973999999999999755e-01
9.695276254744833455e-01,1.298449612403100861e-01,9.262000000000000233e-01
9.783376123234917010e-01,1.326963906581741029e-02,6.147000000000000242e-01
9.723880597014925575e-01,1.241935483870967721e-01,9.197999999999999510e-01
9.661925601750547266e-01,6.279069767441861072e-02,8.884999999999999565e-01
9.706763698630136439e-01,1.250000000000000000e-01,9.152000000000000135e-01
9.641906873614191076e-01,6.836734693877551117e-02,8.763999999999999568e-01
9.647147147147147050e-01,1.346153846153846090e-01,9.085999999999999632e-01
9.553964757709251243e-01,1.021739130434782677e-01,8.769000000000000128e-01
9.690721649484536071e-01,1.686046511627906919e-01,9.140000000000000346e-01
9.592584369449378423e-01,6.955645161290321954e-02,8.709999999999999964e-01
9.647147147147147050e-01,1.908284023668639084e-01,9.123999999999999888e-01
9.659332860184528524e-01,1.901924839596700126e-02,5.526999999999999691e-01
9.690405748098055438e-01,1.529850746268656692e-01,9.253000000000000114e-01
9.608289930555555802e-01,7.142857142857142461e-02,8.911000000000000032e-01
9.691449031171018857e-01,1.388888888888888951e-01,9.273000000000000131e-01
9.618237347294938955e-01,6.490384615384615918e-02,8.871999999999999886e-01
9.738311235170969971e-01,1.452671040299906291e-02,5.644000000000000128e-01
9.532208588957055140e-01,7.454128440366972197e-02,8.766000000000000458e-01
9.652127659574467611e-01,1.583333333333333259e-01,9.167999999999999483e-01
9.597093791281373631e-01,6.877729257641920779e-02,8.780999999999999917e-01
9.649999999999999689e-01,1.383333333333333359e-01,9.153999999999999915e-01
9.565737919024814850e-01,7.389162561576355370e-02,8.849000000000000199e-01
9.641645462256149823e-01,1.566901408450704358e-01,9.183000000000000052e-01
9.557211749232792375e-01,7.648401826484017840e-02,8.787000000000000366e-01
9.669570760730982206e-01,1.819727891156462662e-01,9.207999999999999519e-01
9.557675628794449763e-01,1.056701030927835044e-01,8.898000000000000353e-01
9.705509816339454865e-01,1.357220412595005511e-02,6.179999999999999938e-01
9.642098555649957214e-01,4.794520547945205213e-02,9.106999999999999540e-01
9.722106577851790110e-01,1.530612244897959218e-01,9.401000000000000467e-01
9.688160676532769910e-01,8.148148148148148806e-02,9.209000000000000519e-01
9.703865336658353824e-01,1.329787234042553168e-01,9.388999999999999568e-01
9.686056278874421999e-01,9.873949579831932388e-02,9.272000000000000242e-01
9.730769230769230616e-01,1.184210526315789408e-01,9.405999999999999917e-01
9.695071010860484284e-01,8.726415094339622092e-02,9.321000000000000396e-01
9.805571677307022282e-01,1.287001287001286916e-02,6.797999999999999599e-01
9.704154427192613896e-01,6.837606837606838295e-02,9.282000000000000250e-01
9.795150501672240662e-01,1.157407407407407413e-01,9.422000000000000375e-01
9.764583333333333171e-01,7.000000000000000666e-02,9.402000000000000357e-01
9.785984053713806530e-01,9.829059829059828834e-02,9.374000000000000110e-01
9.765722615576842847e-01,1.136363636363636326e-01,9.424000000000000155e-01
9.807772670288340544e-01,9.345794392523364136e-02,9.427999999999999714e-01
9.791493775933609589e-01,6.944444444444444753e-02,9.464000000000000190e-01
9.832775919732441583e-01,6.944444444444444753e-02,9.437999999999999723e-01
9.802387813915190984e-01,8.802816901408450079e-02,9.548999999999999710e-01
9.844624860022396229e-01,8.053221288515405307e-03,7.056000000000000050e-01
9.870129870129870087e-01,9.722222222222222376e-02,9.741999999999999549e-01
9.888634471273938242e-01,3.061224489795918297e-02,9.513000000000000345e-01
9.876932465419039353e-01,6.547619047619047949e-02,9.721999999999999531e-01
9.925887265135698856e-01,2.619047619047619110e-02,9.519999999999999574e-01
9.900930044480388270e-01,4.629629629629629373e-02,9.798999999999999932e-01
9.931020066889632014e-01,4.166666666666666435e-02,9.519999999999999574e-01
9.912014563106795739e-01,5.357142857142856845e-02,9.807000000000000162e-01
9.950263311878291272e-01,3.476611883691529785e-03,6.813000000000000167e-01
9.844714109419991921e-01,8.695652173913043237e-02,9.596999999999999975e-01
9.873896595208070393e-01,7.024793388429752261e-02,9.429999999999999494e-01
